Series ID,Category,Train Size,Test Size,Model,Train Time (s),Predict Time (s),Trend Strength,Seasonality Strength,Noise Level,MAE,RMSE,MAPE,sMAPE
M1091,Macro,306,18,ARIMA,0.0358669757843017,0.0015888214111328,0.9796466365487954,0.9300312154003216,12.364398365304073,99.9943448532443,107.80206043547238,9.867230393960352,10.46536180753752
M1618,Macro,330,18,ARIMA,0.0327858924865722,0.0011601448059082,0.8877365903398379,0.3168127788001821,250.63938543662655,115.77192222994856,139.23575709066913,18.252090988569403,16.841790798066533
M2169,Macro,306,18,ARIMA,0.028376817703247,0.001155138015747,0.997840944866809,0.2865804031728155,29.153652680555073,39.832862503756054,52.44353356079847,1.919694708322398,1.8884194722109713
M2311,Macro,306,18,ARIMA,0.0245230197906494,0.0012049674987792,0.9803281651245562,-0.0762450865415662,44.11619417734853,11.08861570506767,17.13159981864134,0.7985999067182663,0.8059880731693925
M5958,Macro,359,18,ARIMA,0.0141730308532714,0.0019538402557373,0.9102107231110989,0.2853427179227396,2047.3521699217963,2710.224666754185,3284.9189422578124,35.25543843211148,27.22015747382033
M6569,Macro,218,18,ARIMA,0.0191831588745117,0.001288890838623,0.9484733421227788,-0.0606755931064224,121.33319145782468,198.14214225612437,234.30453972113645,8.799168703924188,9.305945804424905
M6609,Macro,218,18,ARIMA,0.0221261978149414,0.0011398792266845,0.9098492625923156,0.1390061962076489,733.968060513492,2413.352391581126,2993.6593292018974,16.40290949257405,18.54798648700156
M7757,Macro,69,18,ARIMA,0.0139381885528564,0.0013487339019775,0.9780148103672603,0.6120956375592519,73.15380068593404,97.36441893460606,123.5646808423734,12.982117387153938,11.67663717489626
M8631,Macro,148,18,ARIMA,0.0250329971313476,0.0009779930114746,0.949610153870622,0.0136986954215345,206.64635488211863,250.63432874605328,300.3717552828656,8.47384841625274,8.930674023621016
M9937,Macro,69,18,ARIMA,0.0157532691955566,0.0012900829315185,0.8676443951939952,0.0118106307530344,220.3744583783578,142.72572779050324,165.95390121443572,21.83047320935561,19.20969184119909
M10377,Micro,183,18,ARIMA,0.0296211242675781,0.0009510517120361,0.9161880006792336,0.9230499627625156,181.74388302329888,818.1953489450859,1015.6179640252882,9.935274902376952,10.66407759856962
M10415,Micro,340,18,ARIMA,0.0174341201782226,0.0013890266418457,0.9054976925645012,0.7243011269189532,286.13516824221404,785.1428925808144,900.2779266609324,12.908640982090947,12.74433710854878
M10690,Micro,306,18,ARIMA,0.0311722755432128,0.0009818077087402,0.9866714126514872,0.5323500214568168,24.38046128473993,41.3460373042878,45.19450544741243,1.2297222349354548,1.220766366807579
